Name,Latitude,Longitude,Discovery Year,Image,Wiki,Status,Family
Nyctibates corrugatus,-1.3290727868605146,10.558813289339897,1904,Nyctibates corrugatus.jpg,Nyctibates,blue,Arthroleptidae
Leptodactylodon bicolor,5.031068592536565,9.829742464626099,1971,Leptodactylodon bicolor.jpg,Leptodactylodon_bicolor,green,Arthroleptidae
Atelognathus reverberii,-41.49207563231986,-67.26086846115572,1969,Atelognathus reverberii.jpg,Atelognathus_reverberii,lightred,Batrachylidae
Breviceps macrops,-28.036097,15.757744,1907,Breviceps macrops.jpg,Desert_rain_frog,green,Brevicipitidae
Theloderma corticale,22.139371075829352,105.25891344944213,1903,Theloderma corticale.jpg,Theloderma_corticale,blue,Rhacophoridae
Agalychnis callidryas,10.152090886411454,-84.0259358131377,1862,Agalychnis callidryas.jpg,Agalychnis_callidryas,blue,Phyllomedusidae
Alytes cisternasii,41.25182928906689,-7.3955807189403195,1879,Alytes cisternasii.jpg,Iberian_midwife_toad,blue,Alytidae
Mantella aurantiaca,-18.934956149327533,48.42325924279857,1900,Mantella aurantiaca.jpg,Mantella_aurantiaca,red,Mantellidae
